64.251.80.197:80|Canada|British Columbia|Vancouver
170.2.210.201:80|United States|Oregon|Portland
183.172.108.238:4780|Hong Kong|Central and Western District|Central
45.167.253.129:999|Mexico|San Luis Potosí|San Luis Potosí City
64.225.4.85:9965|United States|New Jersey|Newark
165.227.81.188:9989|United States|Georgia|Snellville
27.76.82.21:4003|Vietnam|Hanoi|Hanoi
64.225.4.85:9960|United States|Pennsylvania|Pittston
64.225.4.85:9997|United States|Georgia|Port Wentworth
157.245.27.9:3128|Germany|Hesse|Frankfurt am Main
130.41.109.158:8080|United States|Virginia|Ashburn
201.71.2.161:999|Venezuela|Miranda|Los Dos Caminos
64.225.4.85:9992|United States|Michigan|Warren
103.73.158.76:80|Indonesia|East Java|Tawangrejo
65.108.230.239:38581|Germany|Bavaria|Nuremberg
171.100.153.60:80|Thailand|Nakhon Sawan|Mae Wong
64.225.4.85:9982|United States|Virginia|Norfolk
46.101.126.180:36773|United States|Washington|Seattle
64.225.4.85:9999|United States|Indiana|West Harrison
165.16.66.17:1976|Libya|Tripoli|Tripoli
139.59.232.202:8118|United States|Texas|Houston
64.225.4.85:9971|United States|Michigan|Davison
45.136.50.113:3128|United States|New Jersey|Secaucus
65.108.230.239:44663|United States|Delaware|Wilmington
103.11.106.48:8080|Indonesia|East Java|Rejomulyo
139.224.220.240:1080|Chile|Santiago Metropolitan|Santiago
185.204.3.83:33281|Denmark|Capital Region|Graested
64.225.4.85:9936|United States|Texas|El Paso
36.95.16.103:8080|Indonesia|West Java|Bekasi
65.108.230.239:46667|United States|Nevada|Las Vegas
65.108.230.239:37219|United States|Delaware|Wilmington
158.69.72.138:9300|Germany|Bavaria|Bischberg
143.0.176.136:8088|Brazil|Piaui|Morro do Chapeu
202.150.133.204:80|Indonesia|Jakarta|Jakarta
46.101.126.180:34571|Germany|Bavaria|Bischberg
31.186.239.246:8080|Netherlands|North Holland|Amsterdam
190.13.85.82:999|Colombia|Departamento de Santander|Piedecuesta
218.97.61.217:80|Hong Kong|Central and Western District|Hong Kong
64.225.4.85:9984|United States|Georgia|Moultrie
65.108.230.239:43529|United States|Delaware|Wilmington
103.48.68.36:83|India|Telangana|Hyderabad
183.88.71.175:18080|Thailand|Bangkok|Bangkok
102.68.128.217:8080|Libya|Tripoli|Tripoli
185.204.3.83:1033|United States|Washington|Seattle
103.170.22.50:8089|Indonesia|Central Java|Cilacap
45.70.236.125:999|Ecuador|Provincia del Guayas|Daule
172.106.16.60:3128|United States|Indiana|Elkhart
103.147.118.5:9091|Indonesia|East Java|Jember
201.218.144.19:999|Peru|Lima|Lima
131.255.138.163:80|Peru|Lima|Lima
103.174.175.1:3127|Indonesia|West Java|Bekasi
158.69.53.98:9300|United States|Washington|Vancouver
116.111.133.135:4005|Vietnam|Tinh Lam GJong|Da Lat
202.72.220.83:8080|Indonesia|Jakarta|Jakarta
106.14.64.22:1080|Chile|Santiago Metropolitan|Santiago
64.225.4.85:9987|United States|Massachusetts|Templeton
45.70.236.195:999|Ecuador|Provincia del Guayas|Guayaquil
181.225.107.225:999|Colombia|Bogota D.C.|Bogotá
121.101.135.46:8089|Indonesia|Central Java|Magelang
